Séoul 2023 — 118;Séoul 2023 — 80;Séoul 2023 — 13;Séoul 2023 — 25;Séoul 2023 — 63
67,32;36;16,56;42,48;60,48
66,96;36;24,59;41,4;59,4
66,6;35,1;24,48;42,55;56,7
