Séoul 2023 — 118;Séoul 2023 — 80;Séoul 2023 — 13;Séoul 2023 — 25;Séoul 2023 — 63
67,44;32,58;43,42;42,59;56,52
69,28;32,22;38,02;43,88;58,09
68,54;31,28;27,61;46,55;55,19
