Competiton;City;Year;Day #;Race #;Distance;Gender (race);Solo/ Relay;Repechage;Race type;Heat #;# of skaters;Penalty;First name;Last name;Gender (fallen);Helmet #;Country;Fall / Out of track;Lap #;Turn #;Place of fall;Solo/ Group;Reason of fall;First impact;Second impact;Mattress impact;Head impact;Timing video;Impact speed mean;Impact speed m1;Impact speed m2;Impact speed m3;Not displayed;Comments
World Championships;Seoul;2023;1;26;500m;Men;Solo;No;Preliminaries;11;5;No;Sebastien;Lepape;Man;11;France;Fall;No data;No data;Turn;Solo;Stumbles;Butt;None;Yes;None;02:19:27;#DIV/0!;;;;;
World Championships;Montreal;2022;1;36;500m;Men;Solo;No;Heats;6;4;Yes;Julian;Macaraeg;Man;42;The Philippines;Fall;No data;No data;End of turn;Solo;Skate stuck in the ice;Hip;None;Yes;None;02:47:44;#DIV/0!;;;;;
World Championships;Seoul;2023;1;27;500m;Women;Solo;No;Heats;1;5;No;Renee Marie;Steenge;Woman;116;Canada;Fall;No data;No data;End of turn;Solo;Sliding;Butt;None;Yes;Direct impact;03:25:41;#DIV/0!;;;;;
World Championships;Montreal;2022;1;37;500m;Men;Solo;No;Heats;7;4;No;Furkan;Akar;Man;32;Turkiye;Fall;No data;No data;End of turn;No data;No data;No data;No data;Yes;No data;02:51:48;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;27;500m;Women;Solo;No;Heats;1;5;No;Natalia;Maliszewska;Woman;11;Poland;Fall;No data;None;Straight line;Solo;Stumbles;Elbow + knee;Abdomen;No;None;03:25:47;#DIV/0!;;;;;
World Championships;Montreal;2022;1;39;1000m;Men;Solo;No;Preliminaries;2;5;No;Ivan;Donchev;Man;213;Bulgaria;Fall;No data;None;Straight line;Group;Skates contact;Hip;Elbow + knee;Yes;None;03:45:26;#DIV/0!;;;;;
World Championships;Seoul;2023;1;30;500m;Women;Solo;No;Heats;4;5;No;Yana;Khan;Woman;78;Kazakhstan;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;#DIV/0!;;;;x;
World Championships;Montreal;2022;1;44;1000m;Men;Solo;No;Preliminaries;7;5;Yes;Ward;Petre;Man;95;Belgium;Fall;No data;No data;Turn entrance;Group;Opponent contact;Hip + elbow;None;Yes;Indirect impact;04:04:40;#DIV/0!;;;;;
World Championships;Seoul;2023;1;30;500m;Women;Solo;No;Heats;4;4;No;Sumire;Kikuchi;Woman;53;Japan;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;#DIV/0!;;;;x;
World Championships;Montreal;2022;1;54;1000m;Women;Solo;No;Heats;7;5;Yes;Gwendoline;Daudet;Woman;84;France;Fall;No data;No data;End of turn;Group;Opponent contact;Hand;Flank;No;Indirect impact;04:58:40;#DIV/0!;;;;;
World Championships;Seoul;2023;1;40;500m;Men;Solo;No;Heats;6;5;No;Diane;Sellier;Man;90;Poland;Fall;No data;No data;Turn;Group;Opponent contact;Butt;None;Yes;None;03:58:06;#DIV/0!;;;;;
World Championships;Montreal;2022;1;57;1000m;Men;Solo;No;Heats;3;4;Yes;Quentin;Fercoq;Man;73;France;Fall;No data;No data;Turn entrance;Group;Opponent contact;Hand + knee;Butt;Yes;Indirect impact;05:10:01;#DIV/0!;;;;;
World Championships;Seoul;2023;1;40;500m;Men;Solo;No;Heats;6;5;No;Oleh;Handei;Man;27;Ukraine;Fall;No data;No data;Turn;Group;Opponent fall;Hip + elbow;Shoulder;Yes;None;03:58:06;#DIV/0!;;;;;
World Championships;Montreal;2022;1;57;1000m;Men;Solo;No;Heats;3;4;Yes;Itzhak;De Laat;Man;5;The Netherlands;Fall;No data;No data;Turn entrance;Group;Opponent contact;Hip;None;Yes;Indirect impact;05:10:01;#DIV/0!;;;;;
World Championships;Seoul;2023;1;54;1000m;Women;Solo;No;Heats;3;5;No;Ching Yan;Lam;Woman;104;Hong Kong;Fall;No data;No data;Turn;Group;Opponent contact;Hip + Hand;None;Yes;No data;05:44:02;#DIV/0!;;;;;
World Championships;Montreal;2022;3;125;1000m;Men;Solo;No;Quarterfinals;2;5;Yes;Quentin;Fercoq;Man;73;France;Fall;No data;No data;Turn;Group;Opponent contact;Hand + knee;Hip;Yes;Direct impact;00:33:44;#DIV/0!;;;;;
World Championships;Seoul;2023;1;54;1000m;Women;Solo;No;Heats;3;5;No;Katarina;Buric;Woman;33;Croatia;Fall;No data;No data;Turn;Group;Opponent fall;Abdomen;None;Yes;No data;05:44:02;#DIV/0!;;;;;
World Championships;Montreal;2022;3;125;1000m;Men;Solo;No;Quarterfinals;2;5;Yes;Reinis;Berzins;Man;25;Latvia;Fall;No data;No data;Turn;Group;Opponent contact;Hip;None;Yes;Direct impact;00:33:44;#DIV/0!;;;;;
World Championships;Seoul;2023;1;57;1000m;Women;Solo;No;Heats;6;5;No;Kristen;Santos-Griswold;Woman;38;USA;Fall;No data;None;Straight line;Group;Skates contact;Hip;None;Yes;No data;05:55:34;#DIV/0!;;;;;
World Championships;Montreal;2022;3;126;1000m;Men;Solo;No;Quarterfinals;3;5;Yes;Roberts;Kruzbergs;Man;34;Latvia;Fall;No data;No data;End of turn;Group;Opponent contact;Hip;None;Yes;Indirect impact;00:40:35;#DIV/0!;;;;;
World Championships;Seoul;2023;1;59;1000m;Women;Solo;No;Heats;8;5;Yes;Zsofia;Konya;Woman;21;Hungary;Fall;No data;None;Straight line;Group;Skates contact;Butt;None;Yes;None;06:02:47;#DIV/0!;;;;;
World Championships;Montreal;2022;3;126;1000m;Men;Solo;No;Quarterfinals;3;5;Yes;Dongwook;Kim;Man;51;Korea;Fall;No data;No data;End of turn;Group;Opponent fall;Hand;Hip;Yes;None;00:40:35;#DIV/0!;;;;;
